Variable,F-statistic,p-value
3Mth,665.6296735822807,1.3722349499383908e-128
10Yd,917.402747994281,6.1056253047379453e-151
Inf,250.95228401616026,1.4400611484086613e-71
Unmp,32.662177822992305,7.103478240956079e-14
CHF,294.04754311451245,1.532037630872458e-79
